time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	1	1	0.1	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.637232	0.735926	4.65803	1.12875	0.124568	radar	16.4996	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.03661	0.612382	4.77061	0.0121685	-0.140882	lidar	5.12718	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.23964	0.512297	4.89991	0.0264119	0.150879	radar	2.44972	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.5392	0.56526	4.93767	0.0880836	0.308352	lidar	1.20832	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.78583	0.564503	5.39795	0.145449	1.36019	radar	2.29486	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.08473	0.620312	5.43974	0.20392	1.31644	lidar	0.727199	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.30916	0.656773	5.41198	0.236222	1.09753	radar	1.58126	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.58609	0.694704	5.4382	0.203863	0.559221	lidar	0.370609	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.86863	0.658504	5.50082	0.0278153	-0.544382	radar	0.483499	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.10713	0.653367	5.46905	-0.0119793	-0.643436	lidar	0.521537	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.4005	0.538985	5.59078	-0.201231	-1.05569	radar	1.83783	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.7057	0.40366	5.68678	-0.390332	-1.71502	lidar	2.59703	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	3.99469	0.518787	5.5907	-0.074685	0.134061	radar	3.95056	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.27604	0.52569	5.57695	-0.036416	0.231606	lidar	0.247682	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.53315	0.590106	5.45405	0.0668255	0.52045	radar	1.08246	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.69815	0.778932	5.23416	0.438391	2.48446	lidar	8.36406	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.95752	0.777536	5.2647	0.355758	1.62255	radar	2.14526	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.26417	0.766919	5.28382	0.249682	0.822218	lidar	4.89087	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.53303	0.745471	5.3371	0.0687048	-0.698682	radar	2.54658	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.82778	0.722924	5.38246	-0.0306423	-0.957117	lidar	2.07951	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.08445	0.57845	5.38338	-0.286904	-1.78353	radar	2.33577	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.34293	0.758608	5.33237	0.0802558	0.327751	lidar	3.84112	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.59718	0.805006	5.34713	0.14284	0.560072	radar	0.0640012	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.83535	0.757653	5.34099	0.0181529	-0.151548	lidar	0.389298	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.09	0.68135	5.32576	-0.158888	-1.07825	radar	0.791107	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.29742	0.859093	5.22071	0.178657	0.664551	lidar	2.78382	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.59917	0.808834	5.41736	-0.0334069	-0.766312	radar	4.46169	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.84008	0.741819	5.39905	-0.169482	-1.21937	lidar	0.14412	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.10116	0.745293	5.40965	-0.156597	-1.0038	radar	1.42217	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.33777	0.781352	5.34137	-0.0900685	-0.549657	lidar	0.808361	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.60795	1.00331	5.32422	0.383457	2.25941	radar	5.25065	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.8227	1.08131	5.30431	0.473322	2.24036	lidar	0.392191	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.13884	1.09853	5.43761	0.272833	0.467178	radar	7.07642	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.37423	1.12297	5.36672	0.243978	0.2604	lidar	1.13826	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.6558	1.2334	5.50342	0.293431	0.277529	radar	3.73462	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.91858	1.38629	5.59233	0.429809	0.884194	lidar	1.20585	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
